Source;Target
Mikey Dread;FLeCK & Blue Hill
Natural High Dubs;Enigmatik Dub
Natural High Dubs;ISt3p
Natural High Dubs;Ghana Sound
Natural High Dubs;Ashkabad
Natural High Dubs;Aku-Fen
Natural High Dubs;Lo End Dub
Natural High Dubs;Organic Sound
Natural High Dubs;Zongo Sound
Natural High Dubs;Mad Codiouf
Natural High Dubs;Marcus I
Natural High Dubs;Marcus I
Natural High Dubs;Azual Dub
Marcus I;Azual Dub
Natural High Dubs;Marcus I
Natural High Dubs;Marcus I
Natural High Dubs;Marcus I
Natural High Dubs;Marcus I
Natural High Dubs;Marcus I
Tetra Hydro K;Robinson
Tetra Hydro K ;Dubanko
Tetra Hydro K;Sama Renuka
Zenzile;Tetra Hydro K
Aku Fen;Roots Raid
Aku Fen;Cookah
Aku Fen;Likkle Ferguson
Roots Raid;Cookah
Roots Raid;Likkle Ferguson
Cookah;Likkle Ferguson
Ashkabad;Dub Shepherds
Ashkabad;Jolly Joseph
Dub Shepherds;Jolly Joseph
JAHNO;Dub Master Clash
JAHNO;Echo Minott
Dub Master Clash;Echo Minott
Panda Dub;Roots Raid
Panda Dub;Peter Youthman
Roots Raid;Peter Youthman
Pilah;Anti Bypass
Roots Raid;Aku Fen
Roots Raid;El Fata
Aku Fen;El Fata
Riddim Tuffa;Feldub
Riddim Tuffa;Danman
Feldub;Danman
Feldub;Echoboy
Feldub;Danman
Echoboy;Danman
Riddim Tuffa;Feldub
Riddim Tuffa;Echoboy
Riddim Tuffa;Danman
Feldub;Echoboy
Feldub;Danman
Echoboy;Danman
Riddim Tuffa;Feldub
Riddim Tuffa;Echoboy
Riddim Tuffa;Danman
Feldub;Echoboy
Feldub;Danman
Echoboy;Danman
Baodub;Inner Echo
Baodub;Rider Shafique
Inner Echo;Rider Shafique
Baodub;Inner Echo
Rider Shafique;Bukkha
Rider Shafique;Dubbing Sun
Bukkha;Dubbing Sun
Bukkha;Dubbing Sun
Joyful Lion;Rider Shafique
Rolling Lion Studio;Jamie Bostron
Ruffian Rugged;Bruce Lee-Si
Tenja;El Fata
Tenja;El Fata
Hernandad Rasta;Unidub Esteroo
Hernandad Rasta;Affis Pablo
Hernandad Rasta;Booba Roots
Unidub Esteroo;Affis Pablo
Unidub Esteroo;Booba Roots
Affis Pablo;Booba Roots
Biga Ranx;Waxx
Biga Ranx;C.Cole
Biga Ranx;Oxmo Puccino
Waxx;C.Cole
Waxx;Oxmo Puccino
C.Cole;Oxmo Puccino
The Black Mantis Project;Saadji
The Black Mantis Project;Saadji
Stupeflip;Thriakis Dub Destroyer
Stupeflip;Thriakis Dub Destroyer
Stupeflip;Thriakis Dub Destroyer
Stupeflip;Thriakis Dub Destroyer
Stupeflip;Thriakis Dub Destroyer
Lena Raine;Anastasia Kristensen
Protokseed;Vortek's
Bukkha;Fada Jep
Bukkha;JahWind All Stars
Fada Jep;JahWind All Stars
Feldub;Danman
Feldub;Author
Danman;Author
Feldub;Gappy Ranks
Feldub;Mr Zebre
Feldub;Rebel I
Mr Zebre;Rebel I
Mungo's Hi Fi;Lady Ann
Mystical Hifi;Wudub!
Mystical Hifi;Shamann
Wudub!;Shamann
Mystical Hifi;Wudub!
Mystical Hifi;Shamann
Wudub!;Shamann
Nazamba;Linval Thompson
Nazamba;Soom T
Numa Crew;Killa's Army
Numa Crew;UKG
Killa's Army;UKG
Sandra Cross;Vibronics
Sandra Cross;Vibronics
Dub Machinist;Massive Dub Corporation
Dub Machinist;Roots Zombie
Dub Machinist;Feldub
Massive Dub Corporation;Roots Zombie
Massive Dub Corporation;Feldub
Roots Zombie;Feldub
Dub Machinist;Massive Dub Corporation
Dub Machinist;Roots Zombie
Dub Machinist;Feldub
Massive Dub Corporation;Roots Zombie
Massive Dub Corporation;Feldub
Roots Zombie;Feldub
Dub Machinist;Massive Dub Corporation
Dub Machinist;Massive Dub Corporation
Dub Machinist;Roots Zombie
Dub Machinist;Feldub
Massive Dub Corporation;Roots Zombie
Massive Dub Corporation;Feldub
Roots Zombie;Feldub
Brain Damage;Vibronics
Ondubground;LMK
Jean-Paul Dub;Meissa
Witness;Mr Williamz
Militjah Wise;King Earthquake
Alpha Steppa;JahYu
Alpha Steppa;JahYu
OBF;Charlie P
OBF;Aza Lineage
OBF;Charlie P
Rakoon;Awoga
Kandee;Robzie
Kanka;Nina Girassois
Kanka;Konyx
Kanka;Joseph Lalibela
Kanka;Woodub
Kanka;Yehoud I
Omizu Sound;Micronomade
Omizu Sound;Issac Frank
Capleton;Marshall Neeko
Ras Shiloh;Marshall Neeko
Sizzla;Marshall Neeko
Dawn Penn;Marshall Neeko
Sizzla;Marshall Neeko
Norris Man;Marshall Neeko
Garnett Silk;Marshall Neeko
Marcia Griffiths;Marshall Neeko
Capleton;Marshall Neeko
I-Lue;Marshall Neeko
Luciano;Marshall Neeko
Shabba Ranks;Marshall Neeko
Beres Hammond;Marshall Neeko
Burro Banton;Marshall Neeko
Buju Banton;Marshall Neeko
Capleton;Marshall Neeko
L'Art Cène;Panda Dub
Iya Terra;Alborosie
Iya Terra;Bobby Lee
Alborosie;Bobby Lee
Mungo's Hi Fi;Eek a Mouse
Mungo's Hi Fi;Eek a Mouse
Mungo's Hi Fi;Ruben Da Silva
Eek a Mouse;Ruben Da Silva
Mungo's Hi Fi;Eek a Mouse
Mungo's Hi Fi;Ruben Da Silva
Eek a Mouse;Ruben Da Silva
OBF;Linval Thompson
OBF;Linval Thompson
OBF;Nazamba
Linval Thompson;Nazamba
Tiburk Sound System;Paulette Wright
Woody Vibes;Brewbud
Woody Vibes;Dr Fleron
Brewbud;Dr Fleron
Woody Vibes;Nawa
Woody Vibes;Romane Waza
FootPrint System;Ist3p
FootPrint System;Sub Majesty
Ist3p;Sub Majesty
FootPrint System;Crucial Rob
FootPrint System;Toni Prayazen
FootPrint System;Pijule
FootPrint System;Daman
FootPrint System;Dubviral
Enigmatik Dub;Mama C
Enigmatik Dub;Ras Divarius
Enigmatik Dub;Emrah Kaptan
Atili;Space Cadet
Atili;Gunna
Space Cadet;Gunna
Atili;Migos
Atili;Young Thug
Atili;Travis Scott
Migos;Young Thug
Migos;Travis Scott
Young Thug;Travis Scott
Atili;Juice WRLD
Atili;Pop Smoke
Atili;Travis Scott
Atili;Metro Boomin
Atili;Travis Scott
Atili;Young Thug
Metro Boomin;Travis Scott
Metro Boomin;Young Thug
Travis Scott;Young Thug
Atili;Migos
Atili;Lil Uzi Vert
Migos;Lil Uzi Vert
Atili;Travis Scott
Atili;Migos
Atili;Huncho Jack
Atili;Travis Scott
Atili;Quavo
Huncho Jack;Travis Scott
Huncho Jack;Quavo
Travis Scott;Quavo
Atili;DaBaby
Atili;Travis Scott
Bam;Papyyyy
Bam;VnR
Felckin;Sköne
Mister V;Sköne
Psylotribe;Ritchy
Psylotribe;Ritchy
Osiris MC;Venom
Yowii;Mdtek
Psylotribe;Ritchy
Sköne;HanniBaSs
Sköne;Kobaltik
Sköne;Vortek's
Sköne;Kobaltik
Sköne;Otah
Sköne;El Desperado
Sköne;Exon
Sköne;Ukiyo-e
Sköne;Vortek's
Sköne;Ziqooh
Vortek's;Ziqooh
Sköne;Worakls
Atili;Prendy
Atili;Speng Bond
Atili;Joseph Cotton
Atili;Green Cross
Atili;Gappy Ranks
Atili;Joseph Cotton
Atili;Babyboom
Atili;Green Cross
Babyboom;Green Cross
Atili;Jahdan Blakkamoore
Atili;Eccleton Jarett
Donovan Kingjay;Keety Roots
Anaves Music;Awa Fall
Bukkha;Awa Fall
Sabolious;Vale
Vale;Awa Fall
Leruja;Mehdiman
Leruja;Dubfact
Leruja;Mistah Ben
Leruja;Sensi T
Leruja;Ishiban
Mr Woodwicker;MisTilla
Panda Dub;Digital-i-land
Panda Dub;Poussin
Bisou;JAEL
Panda Dub;Roots Raid
Panda Dub;Cookah
Panda Dub;Likkle Ferguson
Roots Raid;Cookah
Roots Raid;Likkle Ferguson
Cookah;Likkle Ferguson
Marina P;Stepart
Pupajim;Stepart
Twinkle Brothers;OLM
Twinkle Brothers;OLM
Panda dub;Dubatriator
Panda dub;Ondubground
Queen Ifrica;Damian Marley
Taiwan MC;Davojah
Ishiban;Shiva
Moderator;Jeanette Robertson
Moderator;Witness
Jeanette Robertson;Witness
Moderator;Josh Garrels
Moderator;Nieve
Culture;Mr Bojangles
Culture;I Roy
Culture;Prince Weedy
Joe Gibbs;The Professionals
Culture;I Roy
Joe Gibbs;The Professionals
Ras Michael;the Sons of Negus
The Pioneers;Lynn Taitt
The Pioneers;The Jets
Lynn Taitt;The Jets
Stranger;Gladdy
Stranger;Lynn Taitt
Stranger;The Jets
Gladdy;Lynn Taitt
Gladdy;The Jets
Lynn Taitt;The Jets
Stranger;Gladdy
Stranger;Lee Perry
Gladdy;Lee Perry
Lee Perry;Dennis Alcapone
Ken Parker;The Destroyers
Niney;Slim Smith
Niney;The Destroyers
Slim Smith;The Destroyers
Count Machuki;The Destroyers
Sir Lord Comic;The Destroyers
Nicky Thomas;Sir Lord Comic
Lizzy;Cornell Campbell
Cynthia Richards;Irving Brown
Peter Tosh;Winston Scotland
Peter Tosh;Winston Wright
Peter Tosh;Larry Mcdonald
Winston Wright;Larry Mcdonald
Nicky Thomas;Cat Campbell
Nicky Thomas;Dennis Alcapone
Dennis Brown;Big Youth
